Num1,operator,Num2,equal to,frequency,error times,correct times,right
1,+,1,2,0,0,0,1
1,+,9,10,0,0,0,1
2,+,8,10,0,0,0,1
3,+,7,10,0,0,0,1
4,+,6,10,0,0,0,1
5,+,5,10,0,0,0,1
6,+,4,10,0,0,0,1
7,+,3,10,0,0,0,1
8,+,2,10,0,0,0,1
9,+,1,10,0,0,0,1
10,+,0,10,0,0,0,1
1,+,8,9,0,0,0,1
2,+,7,9,0,0,0,1
3,+,6,9,0,0,0,1
4,+,5,9,0,0,0,1
5,+,4,9,0,0,0,1
6,+,3,9,0,0,0,1
7,+,2,9,0,0,0,1
8,+,1,9,0,0,0,1
9,+,0,9,0,0,0,1
1,+,7,8,0,0,0,1
2,+,6,8,0,0,0,1
3,+,5,8,0,0,0,1
4,+,4,8,0,0,0,1
5,+,3,8,0,0,0,1
6,+,2,8,0,0,0,1
7,+,1,8,0,0,0,1
8,+,0,8,0,0,0,1
1,+,6,7,0,0,0,1
2,+,5,7,0,0,0,1
3,+,4,7,0,0,0,1
4,+,3,7,0,0,0,1
5,+,2,7,0,0,0,1
6,+,1,7,0,0,0,1
7,+,0,7,0,0,0,1
1,+,5,6,0,0,0,1
2,+,4,6,0,0,0,1
3,+,3,6,0,0,0,1
4,+,2,6,0,0,0,1
5,+,1,6,0,0,0,1
6,+,0,6,0,0,0,1
1,+,4,5,0,0,0,1
2,+,3,5,0,0,0,1
3,+,2,5,0,0,0,1
4,+,1,5,0,0,0,1
5,+,0,5,0,0,0,1
1,+,3,4,0,0,0,1
2,+,2,4,0,0,0,1
3,+,1,4,0,0,0,1
4,+,0,4,0,0,0,1
1,+,2,3,0,0,0,1
2,+,1,3,0,0,0,1
3,+,0,3,0,0,0,1
1,+,1,2,0,0,0,1
2,+,0,2,0,0,0,1
1,+,0,1,0,0,0,1
1,+,10,11,0,0,0,1
2,+,9,11,0,0,0,1
3,+,8,11,0,0,0,1
4,+,7,11,0,0,0,1
5,+,6,11,0,0,0,1
6,+,5,11,0,0,0,1
7,+,4,11,0,0,0,1
8,+,3,11,0,0,0,1
9,+,2,11,0,0,0,1
10,+,1,11,0,0,0,1
11,+,0,11,0,0,0,1
1,+,11,12,0,0,0,1
2,+,10,12,0,0,0,1
3,+,9,12,0,0,0,1
4,+,8,12,0,0,0,1
5,+,7,12,0,0,0,1
6,+,6,12,0,0,0,1
7,+,5,12,0,0,0,1
8,+,4,12,0,0,0,1
9,+,3,12,0,0,0,1
10,+,2,12,0,0,0,1
11,+,1,12,0,0,0,1
12,+,0,12,0,0,0,1
1,+,12,13,0,0,0,1
2,+,11,13,0,0,0,1
3,+,10,13,0,0,0,1
4,+,9,13,0,0,0,1
5,+,8,13,0,0,0,1
6,+,7,13,0,0,0,1
7,+,6,13,0,0,0,1
8,+,5,13,0,0,0,1
9,+,4,13,0,0,0,1
10,+,3,13,0,0,0,1
11,+,2,13,0,0,0,1
12,+,1,13,0,0,0,1
13,+,0,13,0,0,0,1
1,+,13,14,0,0,0,1
2,+,12,14,0,0,0,1
3,+,11,14,0,0,0,1
4,+,10,14,0,0,0,1
5,+,9,14,0,0,0,1
6,+,8,14,0,0,0,1
7,+,7,14,0,0,0,1
8,+,6,14,0,0,0,1
9,+,5,14,0,0,0,1
10,+,4,14,0,0,0,1
11,+,3,14,0,0,0,1
12,+,2,14,0,0,0,1
13,+,1,14,0,0,0,1
14,+,0,14,0,0,0,1
1,+,14,15,0,0,0,1
2,+,13,15,0,0,0,1
3,+,12,15,0,0,0,1
4,+,11,15,0,0,0,1
5,+,10,15,0,0,0,1
6,+,9,15,0,0,0,1
7,+,8,15,0,0,0,1
8,+,7,15,0,0,0,1
9,+,6,15,0,0,0,1
10,+,5,15,0,0,0,1
11,+,4,15,0,0,0,1
12,+,3,15,0,0,0,1
13,+,2,15,0,0,0,1
14,+,1,15,0,0,0,1
15,+,0,15,0,0,0,1
1,+,15,16,0,0,0,1
2,+,14,16,0,0,0,1
3,+,13,16,0,0,0,1
4,+,12,16,0,0,0,1
5,+,11,16,0,0,0,1
6,+,10,16,0,0,0,1
7,+,9,16,0,0,0,1
8,+,8,16,0,0,0,1
9,+,7,16,0,0,0,1
10,+,6,16,0,0,0,1
11,+,5,16,0,0,0,1
12,+,4,16,0,0,0,1
13,+,3,16,0,0,0,1
14,+,2,16,0,0,0,1
15,+,1,16,0,0,0,1
16,+,0,16,0,0,0,1
1,+,16,17,0,0,0,1
2,+,15,17,0,0,0,1
3,+,14,17,0,0,0,1
4,+,13,17,0,0,0,1
5,+,12,17,0,0,0,1
6,+,11,17,0,0,0,1
7,+,10,17,0,0,0,1
8,+,9,17,0,0,0,1
9,+,8,17,0,0,0,1
10,+,7,17,0,0,0,1
11,+,6,17,0,0,0,1
12,+,5,17,0,0,0,1
13,+,4,17,0,0,0,1
14,+,3,17,0,0,0,1
15,+,2,17,0,0,0,1
16,+,1,17,0,0,0,1
17,+,0,17,0,0,0,1
1,+,17,18,0,0,0,1
2,+,16,18,0,0,0,1
3,+,15,18,0,0,0,1
4,+,14,18,0,0,0,1
5,+,13,18,0,0,0,1
6,+,12,18,0,0,0,1
7,+,11,18,0,0,0,1
8,+,10,18,0,0,0,1
9,+,9,18,0,0,0,1
10,+,8,18,0,0,0,1
11,+,7,18,0,0,0,1
12,+,6,18,0,0,0,1
13,+,5,18,0,0,0,1
14,+,4,18,0,0,0,1
15,+,3,18,0,0,0,1
16,+,2,18,0,0,0,1
17,+,1,18,0,0,0,1
18,+,0,18,0,0,0,1
1,+,18,19,0,0,0,1
2,+,17,19,0,0,0,1
3,+,16,19,0,0,0,1
4,+,15,19,0,0,0,1
5,+,14,19,0,0,0,1
6,+,13,19,0,0,0,1
7,+,12,19,0,0,0,1
8,+,11,19,0,0,0,1
9,+,10,19,0,0,0,1
10,+,9,19,0,0,0,1
11,+,8,19,0,0,0,1
12,+,7,19,0,0,0,1
13,+,6,19,0,0,0,1
14,+,5,19,0,0,0,1
15,+,4,19,0,0,0,1
16,+,3,19,0,0,0,1
17,+,2,19,0,0,0,1
18,+,1,19,0,0,0,1
19,+,0,19,0,0,0,1
1,+,19,20,0,0,0,1
2,+,18,20,0,0,0,1
3,+,17,20,0,0,0,1
4,+,16,20,0,0,0,1
5,+,15,20,0,0,0,1
6,+,14,20,0,0,0,1
7,+,13,20,0,0,0,1
8,+,12,20,0,0,0,1
9,+,11,20,0,0,0,1
10,+,10,20,0,0,0,1
11,+,9,20,0,0,0,1
12,+,8,20,0,0,0,1
13,+,7,20,0,0,0,1
14,+,6,20,0,0,0,1
15,+,5,20,0,0,0,1
16,+,4,20,0,0,0,1
17,+,3,20,0,0,0,1
18,+,2,20,0,0,0,1
19,+,1,20,0,0,0,1
20,+,0,20,0,0,0,1
10,-,9,1,0,0,0,1
10,-,8,2,0,0,0,1
10,-,7,3,0,0,0,1
10,-,6,4,0,0,0,1
10,-,5,5,0,0,0,1
10,-,4,6,0,0,0,1
10,-,3,7,0,0,0,1
10,-,2,8,0,0,0,1
10,-,1,9,0,0,0,1
10,-,0,10,0,0,0,1
9,-,8,1,0,0,0,1
9,-,7,2,0,0,0,1
9,-,6,3,0,0,0,1
9,-,5,4,0,0,0,1
9,-,4,5,0,0,0,1
9,-,3,6,0,0,0,1
9,-,2,7,0,0,0,1
9,-,1,8,0,0,0,1
9,-,0,9,0,0,0,1
8,-,7,1,0,0,0,1
8,-,6,2,0,0,0,1
8,-,5,3,0,0,0,1
8,-,4,4,0,0,0,1
8,-,3,5,0,0,0,1
8,-,2,6,0,0,0,1
8,-,1,7,0,0,0,1
8,-,0,8,0,0,0,1
7,-,6,1,0,0,0,1
7,-,5,2,0,0,0,1
7,-,4,3,0,0,0,1
7,-,3,4,0,0,0,1
7,-,2,5,0,0,0,1
7,-,1,6,0,0,0,1
7,-,0,7,0,0,0,1
6,-,5,1,0,0,0,1
6,-,4,2,0,0,0,1
6,-,3,3,0,0,0,1
6,-,2,4,0,0,0,1
6,-,1,5,0,0,0,1
6,-,0,6,0,0,0,1
5,-,4,1,0,0,0,1
5,-,3,2,0,0,0,1
5,-,2,3,0,0,0,1
5,-,1,4,0,0,0,1
5,-,0,5,0,0,0,1
4,-,3,1,0,0,0,1
4,-,2,2,0,0,0,1
4,-,1,3,0,0,0,1
4,-,0,4,0,0,0,1
3,-,2,1,0,0,0,1
3,-,1,2,0,0,0,1
3,-,0,3,0,0,0,1
2,-,1,1,0,0,0,1
2,-,0,2,0,0,0,1
1,-,0,1,0,0,0,1
11,-,10,1,0,0,0,1
11,-,9,2,0,0,0,1
11,-,8,3,0,0,0,1
11,-,7,4,0,0,0,1
11,-,6,5,0,0,0,1
11,-,5,6,0,0,0,1
11,-,4,7,0,0,0,1
11,-,3,8,0,0,0,1
11,-,2,9,0,0,0,1
11,-,1,10,0,0,0,1
11,-,0,11,0,0,0,1
12,-,11,1,0,0,0,1
12,-,10,2,0,0,0,1
12,-,9,3,0,0,0,1
12,-,8,4,0,0,0,1
12,-,7,5,0,0,0,1
12,-,6,6,0,0,0,1
12,-,5,7,0,0,0,1
12,-,4,8,0,0,0,1
12,-,3,9,0,0,0,1
12,-,2,10,0,0,0,1
12,-,1,11,0,0,0,1
12,-,0,12,0,0,0,1
13,-,12,1,0,0,0,1
13,-,11,2,0,0,0,1
13,-,10,3,0,0,0,1
13,-,9,4,0,0,0,1
13,-,8,5,0,0,0,1
13,-,7,6,0,0,0,1
13,-,6,7,0,0,0,1
13,-,5,8,0,0,0,1
13,-,4,9,0,0,0,1
13,-,3,10,0,0,0,1
13,-,2,11,0,0,0,1
13,-,1,12,0,0,0,1
13,-,0,13,0,0,0,1
14,-,13,1,0,0,0,1
14,-,12,2,0,0,0,1
14,-,11,3,0,0,0,1
14,-,10,4,0,0,0,1
14,-,9,5,0,0,0,1
14,-,8,6,0,0,0,1
14,-,7,7,0,0,0,1
14,-,6,8,0,0,0,1
14,-,5,9,0,0,0,1
14,-,4,10,0,0,0,1
14,-,3,11,0,0,0,1
14,-,2,12,0,0,0,1
14,-,1,13,0,0,0,1
14,-,0,14,0,0,0,1
15,-,14,1,0,0,0,1
15,-,13,2,0,0,0,1
15,-,12,3,0,0,0,1
15,-,11,4,0,0,0,1
15,-,10,5,0,0,0,1
15,-,9,6,0,0,0,1
15,-,8,7,0,0,0,1
15,-,7,8,0,0,0,1
15,-,6,9,0,0,0,1
15,-,5,10,0,0,0,1
15,-,4,11,0,0,0,1
15,-,3,12,0,0,0,1
15,-,2,13,0,0,0,1
15,-,1,14,0,0,0,1
15,-,0,15,0,0,0,1
16,-,15,1,0,0,0,1
16,-,14,2,0,0,0,1
16,-,13,3,0,0,0,1
16,-,12,4,0,0,0,1
16,-,11,5,0,0,0,1
16,-,10,6,0,0,0,1
16,-,9,7,0,0,0,1
16,-,8,8,0,0,0,1
16,-,7,9,0,0,0,1
16,-,6,10,0,0,0,1
16,-,5,11,0,0,0,1
16,-,4,12,0,0,0,1
16,-,3,13,0,0,0,1
16,-,2,14,0,0,0,1
16,-,1,15,0,0,0,1
16,-,0,16,0,0,0,1
17,-,16,1,0,0,0,1
17,-,15,2,0,0,0,1
17,-,14,3,0,0,0,1
17,-,13,4,0,0,0,1
17,-,12,5,0,0,0,1
17,-,11,6,0,0,0,1
17,-,10,7,0,0,0,1
17,-,9,8,0,0,0,1
17,-,8,9,0,0,0,1
17,-,7,10,0,0,0,1
17,-,6,11,0,0,0,1
17,-,5,12,0,0,0,1
17,-,4,13,0,0,0,1
17,-,3,14,0,0,0,1
17,-,2,15,0,0,0,1
17,-,1,16,0,0,0,1
17,-,0,17,0,0,0,1
18,-,17,1,0,0,0,1
18,-,16,2,0,0,0,1
18,-,15,3,0,0,0,1
18,-,14,4,0,0,0,1
18,-,13,5,0,0,0,1
18,-,12,6,0,0,0,1
18,-,11,7,0,0,0,1
18,-,10,8,0,0,0,1
18,-,9,9,0,0,0,1
18,-,8,10,0,0,0,1
18,-,7,11,0,0,0,1
18,-,6,12,0,0,0,1
18,-,5,13,0,0,0,1
18,-,4,14,0,0,0,1
18,-,3,15,0,0,0,1
18,-,2,16,0,0,0,1
18,-,1,17,0,0,0,1
18,-,0,18,0,0,0,1
19,-,18,1,0,0,0,1
19,-,17,2,0,0,0,1
19,-,16,3,0,0,0,1
19,-,15,4,0,0,0,1
19,-,14,5,0,0,0,1
19,-,13,6,0,0,0,1
19,-,12,7,0,0,0,1
19,-,11,8,0,0,0,1
19,-,10,9,0,0,0,1
19,-,9,10,0,0,0,1
19,-,8,11,0,0,0,1
19,-,7,12,0,0,0,1
19,-,6,13,0,0,0,1
19,-,5,14,0,0,0,1
19,-,4,15,0,0,0,1
19,-,3,16,0,0,0,1
19,-,2,17,0,0,0,1
19,-,1,18,0,0,0,1
19,-,0,19,0,0,0,1
20,-,19,1,0,0,0,1
20,-,18,2,0,0,0,1
20,-,17,3,0,0,0,1
20,-,16,4,0,0,0,1
20,-,15,5,0,0,0,1
20,-,14,6,0,0,0,1
20,-,13,7,0,0,0,1
20,-,12,8,0,0,0,1
20,-,11,9,0,0,0,1
20,-,10,10,0,0,0,1
20,-,9,11,0,0,0,1
20,-,8,12,0,0,0,1
20,-,7,13,0,0,0,1
20,-,6,14,0,0,0,1
20,-,5,15,0,0,0,1
20,-,4,16,0,0,0,1
20,-,3,17,0,0,0,1
20,-,2,18,0,0,0,1
20,-,1,19,0,0,0,1
20,-,0,20,0,0,0,1
